"","centre","x_grid","y_grid","latitude","longitude"
"43","x57y218",57,218,67.4627134673249,-144.605204155013
"44","x57y219",57,219,67.4987135403936,-144.032969698971
"45","x57y220",57,220,67.5325212664815,-143.458912400171
"46","x57y221",57,221,67.5641257147647,-142.88313931673
"47","x57y222",57,222,67.5935166082785,-142.305759533311
"48","x57y223",57,223,67.6206843387529,-141.726884049001
"49","x57y224",57,224,67.6456199806156,-141.146625659647
"50","x57y225",57,225,67.6683153041149,-140.565098834912
"51","x57y226",57,226,67.6887627875177,-139.982419590376
"52","x57y227",57,227,67.7069556283405,-139.398705354996
"53","x57y228",57,228,67.7228877535753,-138.81407483429
"54","x57y229",57,229,67.7365538288722,-138.228647869636
"55","x57y230",57,230,67.7479492666499,-137.642545294065
"56","x57y231",57,231,67.7570702331005,-137.055888785005
"57","x57y232",57,232,67.7639136540679,-136.468800714386
"58","x57y233",57,233,67.7684772197753,-135.881403996582
"59","x57y234",57,234,67.7707593883863,-135.293821934651
"60","x57y235",57,235,67.7707593883863,-134.706178065349
"61","x57y236",57,236,67.7684772197753,-134.118596003418
"62","x57y237",57,237,67.7639136540679,-133.531199285614
"63","x57y238",57,238,67.7570702331005,-132.944111214995
"64","x58y218",58,218,67.6819446725857,-144.702857232853
"65","x58y219",58,219,67.7183344409009,-144.125008647936
"66","x58y220",58,220,67.7525092365912,-143.545281895301
"67","x58y221",58,221,67.784457805672,-142.963787060719
"68","x58y222",58,222,67.8141695657493,-142.380636358841
"69","x58y223",58,223,67.841634621597,-141.795944016019
"70","x58y224",58,224,67.8668437798647,-141.209826147186
"71","x58y225",58,225,67.8897885628649,-140.62240062709
"72","x58y226",58,226,67.910461221393,-140.0337869562
"73","x58y227",58,227,67.9288547465339,-139.444106121653
"74","x58y228",58,228,67.9449628804136,-138.853480453602
"75","x58y229",58,229,67.9587801258582,-138.262033477397
"76","x58y230",58,230,67.9703017549239,-137.669889762008
"77","x58y231",58,231,67.9795238162681,-137.077174765163
"78","x58y232",58,232,67.986443141334,-136.484014675662
"79","x58y233",58,233,67.9910573493259,-135.890536253361
"80","x58y234",58,234,67.9933648509574,-135.296866667325
"81","x58y235",58,235,67.9933648509574,-134.703133332675
