"","cell_id","x_grid","y_grid","lat","long","size"
"77","x72y225",72,225,71.003977400225,-141.568764121821,576.016
"78","x72y226",72,226,71.0283498537645,-140.882445590095,576.374
"79","x72y227",72,227,71.0500424439014,-140.194428907735,576.723
"80","x72y228",72,228,71.069045297284,-139.504906863607,577.064
"81","x72y229",72,229,71.0853497281217,-138.81407483429,577.396
"82","x72y230",72,230,71.0989482565811,-138.122130462116,577.72
"83","x72y231",72,231,71.1098346247289,-137.4292733235,578.035
"84","x72y232",72,232,71.1180038099435,-136.735704588929,578.342
"85","x72y233",72,233,71.1234520357257,-136.04162667601,578.64
"86","x72y234",72,234,71.1261767798561,-135.347242897086,578.93
"87","x72y235",72,235,71.1261767798561,-134.652757102914,579.211
"88","x72y236",72,236,71.1234520357257,-133.95837332399,579.484
"89","x72y237",72,237,71.1180038099435,-133.264295411072,579.748
"90","x72y238",72,238,71.1098346247289,-132.5707266765,580.003
"91","x73y218",73,218,70.9796383977584,-146.445063778921,546.099
"92","x73y219",73,219,71.0229308555296,-145.768144561108,545.327
"93","x73y220",73,220,71.0636138270034,-145.08816978339,544.548
"94","x73y221",73,221,71.1016692192918,-144.405311500957,543.763
"95","x73y222",73,222,71.1370799689057,-143.719746506237,542.972
"96","x73y223",73,223,71.169830076137,-143.031656094484,542.175
"97","x73y224",73,224,71.199904637738,-142.341225811364,541.371
"98","x73y225",73,225,71.2272898777459,-141.648645183269,540.561
"99","x73y226",73,226,71.2519731763082,-140.954107431165,539.746
"100","x73y227",73,227,71.273943096368,-140.257809168955,538.924
"101","x73y228",73,228,71.2931894080811,-139.559950087412,538.096
"102","x73y229",73,229,71.3097031108437,-138.860732624883,537.262
"103","x73y230",73,230,71.323476452819,-138.160361626046,536.422
"104","x73y231",73,231,71.3345029478658,-137.459043990105,535.576
"105","x73y232",73,232,71.3427773897817,-136.756988309908,534.725
"106","x73y233",73,233,71.3482958637865,-136.054404503522,533.867
"107","x73y234",73,234,71.351055755189,-135.351503439873,533.004
"108","x73y235",73,235,71.351055755189,-134.648496560127,532.136
"109","x73y236",73,236,71.3482958637865,-133.945595496478,531.261
"110","x73y237",73,237,71.3427773897817,-133.243011690092,530.382
"111","x73y238",73,238,71.3345029478658,-132.540956009895,529.496
"112","x74y218",74,218,71.199904637738,-146.583418604687,568.78
"113","x74y219",74,219,71.2437415502985,-145.898725805753,569.328
"114","x74y220",74,220,71.2849383977309,-145.210867691078,569.868
"115","x74y221",74,221,71.323476452819,-144.520021865774,570.401
"116","x74y222",74,222,71.3593380493277,-143.826370954228,570.925
"117","x74y223",74,223,71.3925066184104,-143.130102354156,571.441
"118","x74y224",74,224,71.4229667232326,-142.431407971173,571.95
"119","x74y225",74,225,71.4507040916489,-141.730483934616,572.45
"120","x74y226",74,226,71.4757056467747,-141.027530295521,572.943
"121","x74y227",74,227,71.4979595353017,-140.322750707768,573.428
"122","x74y228",74,228,71.5174551534177,-139.616352093551,573.904
"123","x74y229",74,229,71.5341831701971,-138.90854429446,574.373
"124","x74y230",74,230,71.548135548344,-138.199539709563,574.833
"125","x74y231",74,231,71.5593055621797,-137.489552921999,575.285
"126","x74y232",74,232,71.5676878127801,-136.778800315674,575.729
"127","x74y233",74,233,71.5732782401838,-136.06749968374,576.165
"128","x74y234",74,234,71.5760741326052,-135.355869830622,576.592
"129","x74y235",74,235,71.5760741326052,-134.644130169378,577.011
"130","x74y236",74,236,71.5732782401838,-133.93250031626,577.422
"131","x74y237",74,237,71.5676878127801,-133.221199684326,577.825
"132","x74y238",74,238,71.5593055621797,-132.510447078001,578.219
"133","x75y218",75,218,71.4201954186142,-146.725112015165,560.698
"134","x75y219",75,219,71.4645893990041,-146.032473240898,560.029
"135","x75y220",75,220,71.5063121139686,-145.336554146499,559.352
"136","x75y221",75,221,71.5453441721402,-144.637538112931,558.669
"137","x75y222",75,222,71.5816672759201,-143.935613842582,557.978
"138","x75y223",75,223,71.615264260054,-143.23097510119,557.28
"139","x75y224",75,224,71.6461191283394,-142.523820438639,556.576
"140","x75y225",75,225,71.6742170882884,-141.81435288941,555.864
"141","x75y226",75,226,71.699544583574,-141.102779653656,555.145
"142","x75y227",75,227,71.7220893240963,-140.389311759974,554.42
"143","x75y228",75,228,71.7418403135158,-139.674163711131,553.688
"144","x75y229",75,229,71.7587878741106,-138.957553114128,552.949
"145","x75y230",75,230,71.7729236688269,-138.239700296102,552.203
"146","x75y231",75,231,71.7842407204057,-137.52082790771,551.451
"147","x75y232",75,232,71.7927334274836,-136.801160515722,550.692
"148","x75y233",75,233,71.7983975775799,-136.080924186661,549.927
"149","x75y234",75,234,71.8012303568997,-135.360346063387,549.155
"150","x75y235",75,235,71.8012303568997,-134.639653936613,548.376
"151","x75y236",75,236,71.7983975775799,-133.919075813339,547.591
"152","x75y237",75,237,71.7927334274836,-133.198839484278,546.8
"153","x75y238",75,238,71.7842407204057,-132.47917209229,546.002
