"","corner","x_grid","y_grid","latitude","longitude"
"148","x73y202",73,202,69.9911717366122,-156.436224520582
"149","x73y203",73,203,70.0719602695739,-155.824592044673
"150","x73y204",73,204,70.1505220587244,-155.207952694415
"151","x73y205",73,205,70.2268281784864,-154.586389321406
"152","x73y206",73,206,70.3008501000207,-153.959990739356
"153","x73y207",73,207,70.3725597321146,-153.328851770165
"154","x73y208",73,208,70.4419294626508,-152.693073275455
"155","x73y209",73,209,70.5089322005429,-152.052762172765
"156","x73y210",73,210,70.5735414180226,-151.408031435622
"157","x73y211",73,211,70.6357311931509,-150.759000076798
"158","x73y212",73,212,70.6954762524214,-150.10579311408
"159","x73y213",73,213,70.7527520133164,-149.448541517997
"160","x73y214",73,214,70.8075346266701,-148.787382140991
"161","x73y215",73,215,70.8598010186896,-148.122457627625
"162","x74y193",74,193,69.3682800865383,-161.989797290528
"163","x74y194",74,194,69.4688103661016,-161.421818239905
"164","x74y195",74,195,69.5673747320706,-160.8481888081
"165","x74y196",74,196,69.6639416183941,-160.26894096759
"166","x74y197",74,197,69.758479514592,-159.684111912912
"167","x74y198",74,198,69.850956998809,-159.093744209329
"168","x74y199",74,199,69.9413427721666,-158.497885934919
"169","x74y200",74,200,70.0296056943751,-157.896590815142
"170","x74y201",74,201,70.1157148205608,-157.289918348922
"171","x74y202",74,202,70.1996394392563,-156.677933925276
"172","x74y203",74,203,70.281349111491,-156.060708929471
"173","x74y204",74,204,70.3608137109102,-155.438320837735
"174","x74y205",74,205,70.4380034648458,-154.810853299529
"175","x74y206",74,206,70.5128889962465,-154.178396206376
"176","x74y207",74,207,70.5854413663716,-153.541045746305
"177","x74y208",74,208,70.6556321181406,-152.898904442968
"178","x74y209",74,209,70.7234333200231,-152.252081178519
"179","x74y210",74,210,70.7888176103447,-151.600691199422
"180","x74y211",74,211,70.8517582418755,-150.944856104372
"181","x74y212",74,212,70.9122291265614,-150.28470381362
"182","x74y213",74,213,70.9702048802504,-149.620368519015
"183","x74y214",74,214,71.0256608672586,-148.951990614241
"184","x74y215",74,215,71.0785732446162,-148.279716604718
"185","x75y193",75,193,69.5673813647064,-162.280481849644
"186","x75y194",75,194,69.6689783734568,-161.708284006821
"187","x75y195",75,195,69.7685985825472,-161.130278248787
"188","x75y196",75,196,69.8662096339741,-160.546495136296
"189","x75y197",75,197,69.9617792107704,-159.956970640961
"190","x75y198",75,198,70.0552750710687,-159.361746306536
"191","x75y199",75,199,70.1466650835597,-158.760869403593
"192","x75y200",75,200,70.2359172643116,-158.154393076555
"193","x75y201",75,201,70.322999814907,-157.542376482069
"194","x75y202",75,202,70.4078811618419,-156.924884917637
"195","x75y203",75,203,70.4905299971255,-156.301989939444
"196","x75y204",75,204,70.5709153200095,-155.673769468272
"197","x75y205",75,205,70.6490064797624,-155.040307882444
"198","x75y206",75,206,70.7247732193991,-154.401696096701
"199","x75y207",75,207,70.7981857202626,-153.758031625938
"200","x75y208",75,208,70.8692146473473,-153.109418632807
"201","x75y209",75,209,70.937831195242,-152.455967958145
"202","x75y210",75,210,71.0040071345603,-151.7977971333
"203","x75y211",75,211,71.0677148587211,-151.13503037347
"204","x75y212",75,212,71.1289274309283,-150.467798551212
"205","x75y213",75,213,71.1876186311929,-149.796239149403
"206","x75y214",75,214,71.2437630032342,-149.120496192987
"207","x75y215",75,215,71.2973359010886,-148.44072015896
"208","x76y193",76,193,69.7660767544573,-162.57700048628
"209","x76y194",76,194,69.8687586486229,-162.000558563067
"210","x76y195",76,195,69.9694529971979,-161.418145945897
"211","x76y196",76,196,70.0681266279695,-160.829791616723
"212","x76y197",76,197,70.1647463939936,-160.23553016278
"213","x76y198",76,198,70.2592792086779,-159.635401951479
"214","x76y199",76,199,70.3516920823702,-159.02945329867
"215","x76y200",76,200,70.441952160414,-158.417736629194
"216","x76y201",76,201,70.5300267626293,-157.800310628604
"217","x76y202",76,202,70.6158834241664,-157.177240384888
"218","x76y203",76,203,70.6994899376676,-156.548597519041
"219","x76y204",76,204,70.7808143966662,-155.914460303284
"220","x76y205",76,205,70.8598252401353,-155.274913765753
"221","x76y206",76,206,70.9364912980947,-154.630049780479
"222","x76y207",76,207,71.0107818381678,-153.979967141473
"223","x76y208",76,208,71.0826666129742,-153.324771619793
"224","x76y209",76,209,71.1521159082289,-152.664576002478
"225","x76y210",76,210,71.2191005914112,-151.999500112296
"226","x76y211",76,211,71.2835921608566,-151.329670807303
"227","x76y212",76,212,71.3455627951117,-150.655221959304
"228","x76y213",76,213,71.4049854023882,-149.976294410358
"229","x76y214",76,214,71.4618336699388,-149.293035906609
"230","x76y215",76,215,71.516082113174,-148.605601008781
"231","x77y193",77,193,69.9643482783289,-162.879514247401
"232","x77y194",77,194,70.068133596252,-162.298804717534
"233","x77y195",77,195,70.1699207794331,-161.71195628938
"234","x77y196",77,196,70.2696758186997,-161.118996185462
"235","x77y197",77,197,70.3673647130574,-160.519957433577
"236","x77y198",77,198,70.4629535058092,-159.914879056342
"237","x77y199",77,199,70.5564083222894,-159.303806254142
"238","x77y200",77,200,70.6476954091834,-158.686790580331
"239","x77y201",77,201,70.7367811753886,-158.063890107442
"240","x77y202",77,202,70.8236322343656,-157.435169583185
