"","centre","x_grid","y_grid","latitude","longitude"
"54","x121y278",121,278,77.3785280087196,-82.600405340113
"55","x121y279",121,279,77.1970766600409,-81.9727624895681
"56","x121y280",121,280,77.0142066723458,-81.3628685849293
"57","x121y281",121,281,76.8299825934154,-80.7701137562724
"58","x121y282",121,282,76.6444659472851,-80.193907240103
"59","x121y283",121,283,76.4577153792757,-79.6336773965496
"60","x121y284",121,284,76.2697867960052,-79.0888716157167
"61","x121y285",121,285,76.0807335001638,-78.5589561312326
"62","x121y286",121,286,75.8906063199275,-78.0434157568509
"63","x121y287",121,287,75.6994537329501,-77.5417535599952
"64","x122y267",122,267,79.4219672875385,-90.0000000000001
"65","x122y268",122,268,79.2589091449467,-89.1319485502545
"66","x122y269",122,269,79.0935159382952,-88.2901859558585
"67","x122y270",122,270,78.9258972538296,-87.4738830883805
"68","x122y271",122,271,78.7561576478922,-86.6822188316652
"69","x122y272",122,272,78.5843968165096,-85.9143832200252
"70","x122y273",122,273,78.4107097725281,-85.1695800417101
"71","x122y274",122,274,78.2351870274658,-84.4470289669633
"72","x122y275",122,275,78.0579147756848,-83.7459672560836
"73","x122y276",122,276,77.8789750789209,-83.0656510987305
"74","x122y277",122,277,77.6984460495011,-82.4053566314086
"75","x122y278",122,278,77.5164020309453,-81.7643806757906
"76","x122y279",122,279,77.3329137748776,-81.1420412363717
"77","x122y280",122,280,77.1480486134187,-80.5376777919745
"78","x122y281",122,281,76.9618706264203,-79.9506514118752
"79","x122y282",122,282,76.7744408030745,-79.3803447238449
"80","x122y283",122,283,76.5858171975659,-78.8261617581853
"81","x122y284",122,284,76.3960550785583,-78.2875276889126
"82","x122y285",122,285,76.2052070723994,-77.7638884905837
"83","x122y286",122,286,76.0133233000093,-77.2547105268672
"84","x122y287",122,287,75.8204515074861,-76.7594800848129
"85","x123y267",123,267,79.5825755912137,-89.104826289789
"86","x123y268",123,268,79.4169883990231,-88.2376089763396
"87","x123y269",123,269,79.2491080838136,-87.3974377975003
"88","x123y270",123,270,79.0790454324615,-86.5834118082287
"89","x123y271",123,271,78.9069059116802,-85.7946429982915
"90","x123y272",123,272,78.7327898695109,-85.0302592718898
"91","x123y273",123,273,78.5567927419464,-84.2894068625004
"92","x123y274",123,274,78.3790052618831,-83.5712522511702
"93","x123y275",123,275,78.1995136680799,-82.8749836510983
"94","x123y276",123,276,78.0183999122228,-82.1998121158184
"95","x123y277",123,277,77.8357418625945,-81.5449723228226
"96","x123y278",123,278,77.6516135031136,-80.9097230791778
"97","x123y279",123,279,77.4660851268397,-80.2933475906604
"98","x123y280",123,280,77.2792235232342,-79.695153531234
"99","x123y281",123,281,77.09109215868,-79.1144729453413
"100","x123y282",123,282,76.9017513499206,-78.5506620115001
"101","x123y283",123,283,76.7112584302159,-78.0031006920765
"102","x123y284",123,284,76.5196679081254,-77.4711922908486
"103","x123y285",123,285,76.3270316189157,-76.9543629370515
"104","x123y286",123,286,76.1333988686664,-76.4520610119996
"105","x123y287",123,287,75.9388165712019,-75.9637565320736
"106","x124y267",124,267,79.7406139485546,-88.1816970355482
"107","x124y268",124,268,79.5724635366835,-87.3162248405311
"108","x124y269",124,269,79.4020660752385,-86.4785466230778
"109","x124y270",124,270,79.2295333227188,-85.6676860168116
"110","x124y271",124,271,79.0549714280585,-84.8826851500274
"111","x124y272",124,272,78.8784811663131,-84.1226073933569
"112","x124y273",124,273,78.7001581766011,-83.3865395176853
"113","x124y274",124,274,78.5200931995823,-82.6735933398305
"114","x124y275",124,275,78.3383723122745,-81.9829069263447
"115","x124y276",124,276,78.1550771584537,-81.3136454187634
"116","x124y277",124,277,77.9702851732949,-80.6650015368618
"117","x124y278",124,278,77.7840698011895,-80.0361958100929
"118","x124y279",124,279,77.5965007060002,-79.4264765814391
"119","x124y280",124,280,77.4076439732143,-78.8351198224515
"120","x124y281",124,281,77.2175623036592,-78.2614287932777
"121","x124y282",124,282,77.0263151985959,-77.7047335770019
"122","x124y283",124,283,76.8339591361351,-77.1643905135986
"123","x124y284",124,284,76.6405477390225,-76.6397815552356
"124","x124y285",124,285,76.4461319339194,-76.130313561495
"125","x124y286",124,286,76.2507601023689,-75.6354175503029
"126","x124y287",124,287,76.0544782236834,-75.1545479179162
"127","x125y267",125,267,79.895956794866,-87.2297842027999
"128","x125y268",125,268,79.7252114548112,-86.3670492605119
"129","x125y269",125,269,79.5522694129138,-85.5328409386108
"130","x125y270",125,270,79.3772431400483,-84.7261040426483
"131","x125y271",125,271,79.2002392121318,-83.9458081058852
"132","x125y272",125,272,79.0213585821504,-83.1909498203867
"133","x125y273",125,273,78.8406968510673,-82.4605548604908
"134","x125y274",125,274,78.6583445350557,-81.7536791855315
"135","x125y275",125,275,78.4743873270456,-81.0694098995811
"136","x125y276",125,276,78.2889063510431,-80.4068657372697
"137","x125y277",125,277,78.1019784080611,-79.7651972365769
"138","x125y278",125,278,77.913676212861,-79.1435866519378
"139","x125y279",125,279,77.724068620924,-78.5412476541229
"140","x125y280",125,280,77.5332208453447,-77.9574248571151
"141","x125y281",125,281,77.3411946634897,-77.3913932066338
"142","x125y282",125,282,77.1480486134187,-76.8424572599853
"143","x125y283",125,283,76.95383818018,-76.3099503825346
"144","x125y284",125,284,76.7586159721789,-75.7932338822397
"145","x125y285",125,285,76.5624318878873,-75.2916961003173
"146","x125y286",125,286,76.365333273212,-74.8047514731802
"147","x125y287",125,287,76.1673650698764,-74.3318395782476
"148","x126y267",126,267,80.0484730078021,-86.2482709294741
"149","x126y268",126,268,79.8751039164134,-85.3893506813395
"150","x126y269",126,269,79.6995928686759,-84.5596679689946
"151","x126y270",126,270,79.5220527571657,-83.758085652585
"152","x126y271",126,271,79.3425903017451,-82.9834982552772
"153","x126y272",126,272,79.1613063598403,-82.2348339815747
"154","x126y273",126,273,78.9782962317156,-81.5110561194954
"155","x126y274",126,274,78.7936499584292,-80.8111639226413
"156","x126y275",126,275,78.607452610724,-80.1341930569157
"157","x126y276",126,276,78.4197845675801,-79.4792156861257
"158","x126y277",126,277,78.2307217835447,-78.8453402610718
"159","x126y278",126,278,78.0403360442718,-78.2317110679794
"160","x126y279",126,279,77.8486952099891,-77.6375075842858
