"","centre","x_grid","y_grid","latitude","longitude"
"43","x70y194",70,194,68.6168505064528,-160.607931489218
"44","x70y195",70,195,68.7123345363621,-160.054002138399
"45","x70y196",70,196,68.8058829730895,-159.495020524037
"46","x70y197",70,197,68.8974672502714,-158.931025068069
"47","x70y198",70,198,68.9870589187889,-158.362058770571
"48","x70y199",70,199,69.0746296764582,-157.788169313554
"49","x70y200",70,200,69.1601513986647,-157.209409158215
"50","x70y201",70,201,69.2435961699003,-156.625835634952
"51","x70y202",70,202,69.3249363161549,-156.037511025422
"52","x70y203",70,203,69.4041444381093,-155.444502635943
"53","x70y204",70,204,69.4811934450689,-154.846882861526
"54","x70y205",70,205,69.5560565895699,-154.244729239833
"55","x70y206",70,206,69.6287075025869,-153.638124494389
"56","x70y207",70,207,69.6991202292599,-153.027156566356
"57","x70y208",70,208,69.7672692650558,-152.411918634254
"58","x70y209",70,209,69.833129592272,-151.792509120985
"59","x70y210",70,210,69.8966767167829,-151.16903168761
"60","x70y211",70,211,69.9578867049265,-150.541595213335
"61","x70y212",70,212,70.0167362204214,-149.910313761223
"62","x70y213",70,213,70.0732025611998,-149.27530652921
"63","x70y214",70,214,70.1272636960387,-148.63669778605
"64","x71y194",71,194,68.817908910077,-160.874773979213
"65","x71y195",71,195,68.9143852669413,-160.316672453559
"66","x71y196",71,196,69.0089143792385,-159.753379924412
"67","x71y197",71,197,69.1014669671824,-159.184934033633
"68","x71y198",71,198,69.1920138583305,-158.611377172181
"69","x71y199",71,199,69.2805260182458,-158.032756593187
"70","x71y200",71,200,69.3669745821781,-157.449124518333
"71","x71y201",71,201,69.4513308877236,-156.860538236788
"72","x71y202",71,202,69.533566508414,-156.267060195928
"73","x71y203",71,203,69.6136532881799,-155.668758083065
"74","x71y204",71,204,69.691563376627,-155.065704897424
"75","x71y205",71,205,69.7672692650558,-154.45797901159
"76","x71y206",71,206,69.8407438231477,-153.845664221687
"77","x71y207",71,207,69.9119603362363,-153.228849785538
"78","x71y208",71,208,69.9808925430715,-152.607630448107
"79","x71y209",71,209,70.0475146739813,-151.982106453546
"80","x71y210",71,210,70.1118014893273,-151.352383543191
"81","x71y211",71,211,70.1737283181437,-150.718572938941
"82","x71y212",71,212,70.2332710968451,-150.080791311443
"83","x71y213",71,213,70.2904064078814,-149.439160732629
"84","x71y214",71,214,70.3451115182149,-148.793808612177
"85","x72y194",72,194,69.018635862593,-161.146841235581
"86","x72y195",72,195,69.1161212832634,-160.584534544037
"87","x72y196",72,196,69.2116478814879,-160.0168934781
"88","x72y197",72,197,69.3051856433722,-159.443954780417
"89","x72y198",72,198,69.3967046515311,-158.865760119633
"90","x72y199",72,199,69.486175116746,-158.28235621349
"91","x72y200",72,200,69.5735674107213,-157.693794945092
"92","x72y201",72,201,69.6588520999012,-157.100133471535
"93","x72y202",72,202,69.7419999802958,-156.501434324048
"94","x72y203",72,203,69.8229821132623,-155.897765498839
"95","x72y204",72,204,69.9017698621755,-155.28920053777
"96","x72y205",72,205,69.9783349299196,-154.675818598053
"97","x72y206",72,206,70.0526493971179,-154.057704510128
"98","x72y207",72,207,70.124685761019,-153.434948822922
"99","x72y208",72,208,70.1944169749403,-152.807647835697
"100","x72y209",72,209,70.2618164881717,-152.175903615747
"101","x72y210",72,210,70.3268582862272,-151.539824001229
"102","x72y211",72,211,70.3895169313308,-150.899522588457
"103","x72y212",72,212,70.4497676030137,-150.255118703058
"104","x72y213",72,213,70.5075861386949,-149.606737354447
"105","x72y214",72,214,70.5629490741103,-148.954509173137
"106","x73y194",73,194,69.2190158319024,-161.424275589319
"107","x73y195",73,195,69.3175274165752,-160.857731808534
"108","x73y196",73,196,69.4140686870167,-160.285705484702
"109","x73y197",73,197,69.5086088739892,-159.708232332006
"110","x73y198",73,198,69.6011172929304,-159.12535317355
"111","x73y199",73,199,69.691563376627,-158.53711407528
"112","x73y200",73,200,69.7799167090756,-157.943566472961
"113","x73y201",73,201,69.8661470604895,-157.34476729132
"114","x73y202",73,202,69.9502244234039,-156.740779054472
"115","x73y203",73,203,70.0321190498205,-156.131669986693
"116","x73y204",73,204,70.1118014893273,-155.517514102653
"117","x73y205",73,205,70.1892426281215,-154.898391286177
"118","x73y206",73,206,70.2644137288514,-154.274387356634
"119","x73y207",73,207,70.3372864711899,-153.645594122078
"120","x73y208",73,208,70.4078329930393,-153.012109418252
"121","x73y209",73,209,70.4760259322622,-152.374037132658
"122","x73y210",73,210,70.5418384688235,-151.731487212871
"123","x73y211",73,211,70.6052443672216,-151.084575658373
"124","x73y212",73,212,70.6662180190801,-150.433424495223
"125","x73y213",73,213,70.7247344857627,-149.778161732937
"126","x73y214",73,214,70.7807695408701,-149.118921303057
"127","x74y194",74,194,69.4190327565014,-161.707224035435
"128","x74y195",74,195,69.5185879757018,-161.136412444376
"129","x74y196",74,196,69.6161614884393,-160.559965171824
"130","x74y197",74,197,69.7117217483489,-159.977916763355
"131","x74y198",74,198,69.805237280835,-159.390307062468
"132","x74y199",74,199,69.8966767167829,-158.79718135619
"133","x74y200",74,200,69.9860088275504,-158.198590513648
"134","x74y201",74,201,70.0732025611998,-157.594591116635
"135","x74y202",74,202,70.1582270799217,-156.98524558121
"136","x74y203",74,203,70.241051798591,-156.370622269343
"137","x74y204",74,204,70.3216464243909,-155.750795589599
"138","x74y205",74,205,70.3999809974294,-155.125846085872
"139","x74y206",74,206,70.4760259322622,-154.495860513186
"140","x74y207",74,207,70.5497520602309,-153.860931899565
"141","x74y208",74,208,70.6211306725124,-153.221159593045
"142","x74y209",74,209,70.6901335637688,-152.576649292891
"143","x74y210",74,210,70.7567330762774,-151.927513064147
"144","x74y211",74,211,70.820902144412,-151.273869334696
"145","x74y212",74,212,70.882614339339,-150.615842874049
"146","x74y213",74,213,70.9418439137839,-149.95356475319
"147","x74y214",74,214,70.998565846717,-149.287172284841
"148","x75y194",75,194,69.6186700227236,-161.995838394087
"149","x75y195",75,195,69.7192867241899,-161.420729619555
"150","x75y196",75,196,69.8179104409046,-160.839826878019
"151","x75y197",75,197,69.9145088270435,-160.253163394574
"152","x75y198",75,198,70.0090495944973,-159.660777887348
"153","x75y199",75,199,70.1015005476402,-159.062714725725
"154","x75y200",75,200,70.1918296194792,-158.459024081462
"155","x75y201",75,201,70.2800049091441,-157.849762071649
"156","x75y202",75,202,70.36599472067,-157.234990892489
"157","x75y203",75,203,70.4497676030137,-156.614778942786
"158","x75y204",75,204,70.5312923912373,-155.989200936101
"159","x75y205",75,205,70.6105382487817,-155.358338000442
"160","x75y206",75,206,70.6874747107431,-154.722277764447
"161","x75y207",75,207,70.762071728055,-154.081114428954
"162","x75y208",75,208,70.8342997124701,-153.434948822922
"163","x75y209",75,209,70.9041295822246,-152.783888442693
"164","x75y210",75,210,70.9715328082594,-152.128047473597
"165","x75y211",75,211,71.0364814608612,-151.467546793003
"166","x75y212",75,212,71.0989482565811,-150.802513953936
"167","x75y213",75,213,71.1589066052755,-150.133083148487
"168","x75y214",75,214,71.2163306571102,-149.459395150319
"169","x76y194",76,194,69.8179104409046,-162.290275476137
"170","x76y195",76,195,69.9196068563412,-161.710841649997
"171","x76y196",76,196,70.0192991380545,-161.125450241797
"172","x76y197",76,197,70.1169541178846,-160.534132991648
"173","x76y198",76,198,70.2125386701025,-159.936927333912
"174","x76y199",76,199,70.3060197472532,-159.333876569047
"175","x76y200",76,200,70.3973644174872,-158.725030028293
"176","x76y201",76,201,70.4865399033408,-158.110443230095
"177","x76y202",76,202,70.5735136219179,-157.490178027113
"178","x76y203",76,203,70.6582532264148,-156.864302742664
"179","x76y204",76,204,70.7407266489204,-156.232892295419
"180","x76y205",76,205,70.820902144412,-155.596028311149
"181","x76y206",76,206,70.8987483358586,-154.953799220357
"182","x76y207",76,207,70.9742342603307,-154.306300340601
"183","x76y208",76,208,71.0473294160049,-153.653633942345
"184","x76y209",76,209,71.1180038099435,-152.99590929724
"185","x76y210",76,210,71.1862280065142,-152.333242707716
"186","x76y211",76,211,71.2519731763082,-151.665757516876
"187","x76y212",76,212,71.3152111454049,-150.99358409773
"188","x76y213",76,213,71.3759144448185,-150.316859820877
"189","x76y214",76,214,71.4340563599579,-149.63572899984
"190","x77y194",77,194,70.0167362204214,-162.590697253043
"191","x77y195",77,195,70.1195309720825,-162.006912182026
"192","x77y196",77,196,70.2203105867837,-161.417000396734
"193","x77y197",77,197,70.3190410506156,-160.820991974189
"194","x77y198",77,198,70.4156883754992,-160.218922892965
"195","x77y199",77,199,70.5102186361191,-159.610835219718
"196","x77y200",77,200,70.6025980084597,-158.996777288566
"197","x77y201",77,201,70.6927928099071,-158.376803872096
"198","x77y202",77,202,70.7807695408701,-157.750976342788
"199","x77y203",77,203,70.8664949278612,-157.119362823582
"200","x77y204",77,204,70.9499359679709,-156.482038326308
"201","x77y205",77,205,71.0310599746526,-155.839084876676
"202","x77y206",77,206,71.1098346247289,-155.190591624541
"203","x77y207",77,207,71.1862280065142,-154.536654938129
"204","x77y208",77,208,71.260208668938,-153.877378480962
"205","x77y209",77,209,71.3317456715436,-153.212873270229
"206","x77y210",77,210,71.4008086352203,-152.5432577154
"207","x77y211",77,211,71.4673677935217,-151.868657635939
"208","x77y212",77,212,71.5313940444064,-151.189206257027
"209","x77y213",77,213,71.5928590022309,-150.505044182312
"210","x77y214",77,214,71.6517350498112,-149.816319342778
"211","x78y194",78,194,70.2151289435529,-162.897271030948
"212","x78y195",78,195,70.3190410506156,-162.309110379967
"213","x78y196",78,196,70.4209271807413,-161.714648172681
"214","x78y197",78,197,70.5207524503306,-161.113912630291
"215","x78y198",78,198,70.6184819836044,-160.506938088849
"216","x78y199",78,199,70.7140809506403,-159.893765201641
"217","x78y200",78,200,70.8075146071354,-159.27444113444
"218","x78y201",78,201,70.8987483358586,-158.649019752347
"219","x78y202",78,202,70.9877476897492,-158.017561796881
"220","x78y203",78,203,71.0744784366026,-157.38013505196
